,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:AT1G53160,251.2933755,-11.47364527,1.286218474,-8.9204482,4.6440490757153e-19,1.98201012437623e-17
gene:AT4G39250,157.9935041,-10.80290817,1.37334049,-7.866154279,3.65709491705964e-15,1.1673592531271e-13
gene:AT4G15670,108.6679974,-10.26437572,1.333705959,-7.696130956,1.40248076128589e-14,4.24448894547653e-13
gene:AT5G50820,75.35354705,-9.734234636,1.437457482,-6.771841782,1.271531541303e-11,2.99198522090465e-10
gene:AT2G33810,71.50854613,-9.660061168,1.436191372,-6.726165716,1.74192172837575e-11,4.02503114379069e-10
gene:AT1G19510,69.59045743,-9.621151373,1.425218517,-6.750649992,1.47184272907114e-11,3.4381102972283e-10
gene:AT1G06475,45.52910341,-9.012253855,1.634663321,-5.513217149,3.52333075785272e-08,5.54061032901545e-07
gene:AT1G09240,39.88130735,-8.819451381,1.547111424,-5.700592242,1.19391907316506e-08,2.02293611974305e-07
gene:AT3G48970,35.36134503,-8.643802419,1.617377208,-5.34433302,9.075058949829e-08,1.3582949818531e-06
gene:AT3G11750,32.97780862,-8.544539451,1.61595048,-5.287624565,1.23914976495153e-07,1.82208973841001e-06
gene:AT2G40970,32.64734833,-8.531108601,1.652545108,-5.162405891,2.43795948872604e-07,3.4428352339691e-06
gene:AT3G29280,30.46808708,-8.426472524,1.718073458,-4.904605497,9.36152969158267e-07,1.20047117590662e-05
gene:AT3G58000,29.34713186,-8.374385232,1.683215292,-4.975231198,6.51698103343079e-07,8.60348771820822e-06
gene:AT3G26750,53.30788935,-8.345985534,1.413777605,-5.903322774,3.56252297763178e-09,6.49350779104701e-08
gene:AT4G01580,26.94647959,-8.257311886,1.764005963,-4.680999984,2.8547896130984e-06,3.42148134949676e-05
gene:AT1G09470,25.95200031,-8.198285471,1.74190919,-4.706494183,2.52013172808544e-06,3.03931676078876e-05
gene:AT5G06790,24.35313245,-8.112189958,1.922835071,-4.218869355,2.4553048629399e-05,0.000242276
gene:AT2G17620,24.36849909,-8.103478065,1.918353168,-4.224184681,2.39807344290276e-05,0.000237683
gene:AT5G53080,47.22601165,-8.055087543,1.433021944,-5.621049684,1.89800673220363e-08,3.10389410207779e-07
gene:AT1G64450,23.28892291,-8.040011061,1.790855353,-4.489480988,7.13969191713802e-06,7.91161715722928e-05
gene:AT5G01910,23.11720447,-8.029980696,1.787829856,-4.491468061,7.0733909324403e-06,7.84750122901734e-05
gene:AT5G67060,22.64306901,-8.002518113,1.778745104,-4.498968455,6.82839878311536e-06,7.60167841396208e-05
gene:AT1G14160,22.36922195,-7.986791683,1.810493466,-4.411389399,1.02709414478e-05,0.000110568
gene:AT1G15550,22.0166248,-7.959995588,1.815241136,-4.38508991,1.15937881514255e-05,0.000123155
gene:AT2G42110,21.81963524,-7.946872539,1.81486438,-4.378769361,1.1935135989875e-05,0.000126293
gene:AT5G09990,21.2548644,-7.914807017,1.909184328,-4.145648433,3.38853404079217e-05,0.000323524
gene:AT5G03310,21.08648686,-7.896665976,1.948634085,-4.052410885,5.06925354559175e-05,0.000461775
gene:AT2G24030,20.55901286,-7.860662775,1.892430929,-4.153738272,3.2708728006348e-05,0.000313067
gene:AT1G61680,20.35949576,-7.853201945,1.911575807,-4.10823464,3.98694942918081e-05,0.000374229
gene:AT2G42975,20.03446354,-7.827573994,1.844840815,-4.242953609,2.20597050673103e-05,0.000220804
gene:AT1G74890,19.97617528,-7.825132779,1.882732499,-4.15626372,3.23494395649909e-05,0.000310245
gene:AT5G62280,36.86368939,-7.817165301,1.484166933,-5.267039121,1.38641670113525e-07,2.01858915759843e-06
gene:AT3G02480,19.91038971,-7.814020089,1.876583695,-4.163960345,3.12774460772685e-05,0.000300864
gene:AT4G37810,19.07954492,-7.753501957,1.925159536,-4.027459446,5.63827886173773e-05,0.000510468
gene:AT5G12970,19.00563624,-7.753038059,2.088777277,-3.711759097,0.000205824,0.001613069
gene:AT2G10931,18.83721955,-7.73639263,1.871923146,-4.132858043,3.58280027321814e-05,0.000340048
gene:AT3G16280,18.66910787,-7.726562179,2.070783263,-3.731226882,0.00019055,0.001507479
gene:AT4G11550,18.66324936,-7.717048378,2.115129942,-3.64849848,0.000263777,0.002006001
gene:AT1G52618,18.32206714,-7.695126719,2.19376011,-3.507733905,0.000451941,0.003202856
gene:AT1G56710,18.11452022,-7.684948212,2.154242737,-3.567354821,0.000360603,0.002643571
gene:AT3G11520,17.8948763,-7.667202974,1.99379495,-3.845532347,0.000120291,0.001004059
gene:AT2G32765,36.23843312,-7.648502473,1.544846218,-4.950979834,7.38407557256619e-07,9.60891122754585e-06
