"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043295","glutathione binding","3/97","19/26506",0.157894736842105,43.1459576776994,11.1375619969662,4.41183032724147e-05,0.00269624972304587,0.00157004463156087,"ATGST1/ATGSTF2/ATGST11",3
"GO:1900750","oligopeptide binding","3/97","19/26506",0.157894736842105,43.1459576776994,11.1375619969662,4.41183032724147e-05,0.00269624972304587,0.00157004463156087,"ATGST1/ATGSTF2/ATGST11",3
"GO:0004364","glutathione transferase activity","4/97","57/26506",0.0701754385964912,19.1759811900886,8.32538751209969,5.73670153839548e-05,0.00269624972304587,0.00157004463156087,"ATGST1/ATGSTF2/ATGSTU4/ATGST11",4
"GO:0080044","quercetin 7-O-glucosyltransferase activity","4/97","62/26506",0.0645161290322581,17.6295310941137,7.94485667847706,7.98900631643403e-05,0.00281612472654299,0.00163984866495225,"UGT74E2/NA/UGT73B5/UGT73B4",4
"GO:0042626","ATPase-coupled transmembrane transporter activity","6/97","208/26506",0.0288461538461538,7.88243457573355,6.03929427376295,0.000118580818731475,0.00334397908822759,0.00194722186548527,"ABCB4/ACA12/ABCC3/ABCG36/ABCC7/ACA13",6
"GO:0080043","quercetin 3-O-glucosyltransferase activity","4/97","73/26506",0.0547945205479452,14.9730264086993,7.24523497734119,0.000151155741496209,0.00341793927485988,0.00199028938737641,"UGT74E2/NA/UGT73B5/UGT73B4",4
"GO:0015399","primary active transmembrane transporter activity","6/97","227/26506",0.026431718061674,7.22267132930651,5.70636000577177,0.000190679087122763,0.00341793927485988,0.00199028938737641,"ABCB4/ACA12/ABCC3/ABCG36/ABCC7/ACA13",6
"GO:0072341","modified amino acid binding","3/97","32/26506",0.09375,25.617912371134,8.44481658536335,0.000218166336693184,0.00341793927485988,0.00199028938737641,"ATGST1/ATGSTF2/ATGST11",3
"GO:1901681","sulfur compound binding","3/97","32/26506",0.09375,25.617912371134,8.44481658536335,0.000218166336693184,0.00341793927485988,0.00199028938737641,"ATGST1/ATGSTF2/ATGST11",3
"GO:0140359","ABC-type transporter activity","3/97","41/26506",0.0731707317073171,19.9944681921046,7.37661149457092,0.000457829344541324,0.00645539375803266,0.00375901988149718,"ABCB4/ABCC3/ABCG36",3
"GO:0071949","FAD binding","3/97","51/26506",0.0588235294117647,16.0739842328684,6.53029882448011,0.000871038802818442,0.0103530506512872,0.00602865211497128,"AtBBE19/MO1/NA",3
"GO:0016829","lyase activity","6/97","306/26506",0.0196078431372549,5.35799474428947,4.64697742691398,0.000924190581814336,0.0103530506512872,0.00602865211497128,"CYP71B15/ACS2/ACS6/ATPEPR1/ATPAL2/IGPS",6
"GO:0046906","tetrapyrrole binding","5/97","205/26506",0.024390243902439,6.66482273070153,4.93458821325864,0.000954536584870453,0.0103530506512872,0.00602865211497128,"CYP71B15/DEG11/AB165/CYP706A1/Prx37",5
"GO:0033218","amide binding","3/97","60/26506",0.05,13.6628865979381,5.95116702209666,0.00139766532249976,0.0114155582634589,0.00664735755542959,"ATGST1/ATGSTF2/ATGST11",3
"GO:0051213","dioxygenase activity","4/97","132/26506",0.0303030303030303,8.28053733208372,5.08201790618669,0.00142362388742286,0.0114155582634589,0.00664735755542959,"ATLOX4/ATJRG21/ATLOX3/JAO2",4
"GO:0022804","active transmembrane transporter activity","7/97","456/26506",0.0153508771929825,4.19474588533189,4.1705052294936,0.0014469187396845,0.0114155582634589,0.00664735755542959,"ABCB4/ACA12/ATSTP13/ABCC3/ABCG36/ABCC7/ACA13",7
"GO:0008483","transaminase activity","3/97","62/26506",0.0483870967741935,13.2221483205853,5.83920353259452,0.00153656621013768,0.0114155582634589,0.00664735755542959,"ACS2/ACS6/ALAAT2",3
"GO:0010329","auxin efflux transmembrane transporter activity","2/97","16/26506",0.125,34.1572164948454,8.04027439208696,0.00153826671635262,0.0114155582634589,0.00664735755542959,"ABCB4/ABCG36",2
"GO:0015562","efflux transmembrane transporter activity","2/97","16/26506",0.125,34.1572164948454,8.04027439208696,0.00153826671635262,0.0114155582634589,0.00664735755542959,"ABCG36/ATDTX1",2
"GO:0016769","transferase activity, transferring nitrogenous groups","3/97","64/26506",0.046875,12.808956185567,5.73228983405132,0.00168382907883032,0.0116776127137913,0.00679995365192775,"ACS2/ACS6/ALAAT2",3
"GO:0005388","P-type calcium transporter activity","2/97","17/26506",0.117647058823529,32.1479684657368,7.78565577548231,0.00173921891481998,0.0116776127137913,0.00679995365192775,"ACA12/ACA13",2
"GO:0080161","auxin transmembrane transporter activity","2/97","19/26506",0.105263157894737,28.7639717851329,7.33695410135515,0.00217641742793578,0.0135872201683299,0.00791193111705663,"ABCB4/ABCG36",2
"GO:0005507","copper ion binding","4/97","149/26506",0.0268456375838926,7.33577803916142,4.70022765323784,0.00221635506291907,0.0135872201683299,0.00791193111705663,"ATGST1/ATGST11/IGPS/ALAAT2",4
"GO:0001653","peptide receptor activity","2/97","20/26506",0.1,27.3257731958763,7.13775667769201,0.00241248979256797,0.0141733775313368,0.00825325455352199,"ATPEPR1/LRR",2
"GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","4/97","156/26506",0.0256410256410256,7.00660851176315,4.56010780309712,0.00261673829452043,0.0144259036499641,0.00840030223738111,"ATGST1/ATGSTF2/ATGSTU4/ATGST11",4
"GO:0016168","chlorophyll binding","2/97","21/26506",0.0952380952380952,26.0245459008346,6.9526386332616,0.00266009570850402,0.0144259036499641,0.00840030223738111,"DEG11/AB165",2
"GO:0035251","UDP-glucosyltransferase activity","4/97","160/26506",0.025,6.83144329896907,4.48386468514233,0.00286649779284877,0.0149694884737658,0.00871683539345825,"UGT74E2/NA/UGT73B5/UGT73B4",4
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","6/97","387/26506",0.0155038759689922,4.23655398385679,3.88717289838465,0.00301848798632149,0.0152002430739761,0.00885120537342393,"CYP71B15/CYP81D8/NA/ATJRG21/CYP706A1/JAO2",6
"GO:0016846","carbon-sulfur lyase activity","2/97","26/26506",0.0769230769230769,21.0198255352895,6.18958833235748,0.00406814136301044,0.0197795838684301,0.0115177867990858,"ACS2/ACS6",2
"GO:0042802","identical protein binding","6/97","420/26506",0.0142857142857143,3.90368188512518,3.63532906366773,0.0044951168606805,0.0211270492451983,0.0123024250923887,"AtJAZ1/ACS6/AtBCS1/ATCRR3/LRR/ATEDS1",6
"GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","2/97","31/26506",0.0645161290322581,17.6295310941137,5.61457204739679,0.00575184923895,0.0261616368610307,0.015234099851888,"ATLOX4/ATLOX3",2
"GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","2/97","39/26506",0.0512820512820513,14.0132170235263,4.92876839105209,0.0089936231602035,0.0394682791474516,0.0229826485517075,"ATLOX4/ATLOX3",2
"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","3/97","119/26506",0.0252100840336134,6.88885038551503,3.90195975627915,0.00957718066255523,0.0394682791474516,0.0229826485517075,"IAR3/ATJRG21/JAO2",3
"GO:0046527","glucosyltransferase activity","4/97","227/26506",0.0176211453744493,4.81511421953767,3.49856420944013,0.00976120671662918,0.0394682791474516,0.0229826485517075,"UGT74E2/NA/UGT73B5/UGT73B4",4
"GO:0050660","flavin adenine dinucleotide binding","3/97","120/26506",0.025,6.83144329896907,3.88019627399289,0.00979709056851636,0.0394682791474516,0.0229826485517075,"AtBBE19/MO1/NA",3
"GO:0050897","cobalt ion binding","2/97","44/26506",0.0454545454545455,12.4208059981256,4.59500039634232,0.0113466642844189,0.0444411017806406,0.0258783571399027,"ATGST1/ATGST11",2
