"","trt_1","trt_2","trt_3","ctr_1","ctr_2","ctr_3"
"gene:AT1G01010",71,42,48,28,18,64
"gene:AT1G01020",12,54,48,117,195,46
"gene:AT1G01030",0,34,9,29,58,8
"gene:AT1G01040",1458,182,322,995,848,430
"gene:AT1G01050",156,34,132,291,490,133
"gene:AT1G01060",0,1,2,19,30,0
"gene:AT1G01070",0,0,0,0,5,0
"gene:AT1G01080",526,110,122,304,508,199
"gene:AT1G01090",1722,531,771,1122,1428,601
"gene:AT1G01100",3554,405,846,1848,2301,927
"gene:AT1G01110",2,28,9,11,85,49
"gene:AT1G01120",84,7,3,26,26,53
"gene:AT1G01130",1,0,3,0,18,3
"gene:AT1G01140",374,68,272,970,881,421
"gene:AT1G01150",0,0,5,0,0,0
"gene:AT1G01160",206,70,154,309,341,145
"gene:AT1G01170",480,230,137,373,565,229
"gene:AT1G01180",0,5,14,41,20,0
"gene:AT1G01190",117,34,27,34,17,0
"gene:AT1G01200",0,0,0,2,12,51
"gene:AT1G01210",282,146,64,73,72,36
"gene:AT1G01220",815,126,50,136,410,181
"gene:AT1G01225",0,0,0,47,54,3
"gene:AT1G01230",67,145,177,114,177,20
"gene:AT1G01240",32,117,106,148,161,111
"gene:AT1G01250",0,0,0,0,16,0
"gene:AT1G01260",2116,483,640,66,105,28
"gene:AT1G01280",1,0,1,0,1,0
"gene:AT1G01290",327,0,26,72,40,26
"gene:AT1G01300",810,161,380,709,1156,457
"gene:AT1G01305",0,0,0,0,0,0
"gene:AT1G01310",0,0,0,0,5,0
"gene:AT1G01320",4152,1321,1210,3646,6589,2114
"gene:AT1G01335",0,0,0,0,0,0
"gene:AT1G01340",668,81,158,5,24,10
"gene:AT1G01350",337,229,95,130,223,69
"gene:AT1G01355",0,0,0,0,0,1
"gene:AT1G01360",0,2,4,45,71,13
"gene:AT1G01370",23,6,0,7,40,14
"gene:AT1G01380",0,0,0,0,0,0
"gene:AT1G01390",3,64,21,268,69,59
"gene:AT1G01400",0,0,1,0,0,0
"gene:AT1G01410",0,0,0,0,0,0
"gene:AT1G01420",110,1,0,1,14,26
"gene:AT1G01430",203,16,93,105,225,3
"gene:AT1G01440",806,90,208,122,206,94
"gene:AT1G01450",28,27,16,40,43,44
"gene:AT1G01453",0,0,0,0,0,0
"gene:AT1G01460",0,0,0,0,0,0
"gene:AT1G01470",3717,553,908,904,825,258
"gene:AT1G01480",7863,1552,1962,2,15,10
"gene:AT1G01490",2809,601,872,563,509,334
"gene:AT1G01500",367,11,34,132,229,77
"gene:AT1G01510",406,101,327,453,519,157
"gene:AT1G01520",0,6,0,4,7,7
"gene:AT1G01530",0,0,0,0,0,0
"gene:AT1G01540",663,218,254,435,534,245
"gene:AT1G01550",5898,1501,1137,627,701,212
"gene:AT1G01560",2031,560,521,0,3,8
"gene:AT1G01570",0,0,2,10,32,41
"gene:AT1G01580",0,0,12,4,20,15
"gene:AT1G01590",1,0,0,0,0,0
"gene:AT1G01600",0,0,2,0,2,0
"gene:AT1G01610",203,1,91,1,48,18
"gene:AT1G01620",4088,1015,798,2177,3019,1106
"gene:AT1G01630",160,97,58,66,52,1
"gene:AT1G01640",94,89,15,10,48,10
"gene:AT1G01650",997,201,147,466,398,375
"gene:AT1G01660",0,0,1,0,0,0
"gene:AT1G01670",0,1,0,0,7,0
"gene:AT1G01680",187,61,22,0,1,0
"gene:AT1G01690",245,0,26,10,43,124
"gene:AT1G01695",0,0,0,0,3,23
"gene:AT1G01700",40,46,8,125,79,42
"gene:AT1G01710",286,101,112,209,195,118
"gene:AT1G01715",0,4,25,14,12,3
"gene:AT1G01720",92,48,150,143,265,69
"gene:AT1G01725",141,0,35,90,104,32
"gene:AT1G01730",416,98,41,39,96,15
"gene:AT1G01740",244,108,64,13,42,26
"gene:AT1G01750",6,0,19,37,16,6
"gene:AT1G01760",75,0,0,36,34,11
"gene:AT1G01770",178,44,65,397,364,124
"gene:AT1G01780",205,0,5,41,105,29
"gene:AT1G01790",1203,195,729,630,1135,392
"gene:AT1G01800",335,131,271,322,387,136
"gene:AT1G01810",0,0,0,20,18,0
"gene:AT1G01820",979,139,247,144,307,167
"gene:AT1G01830",1,1,166,74,99,52
"gene:AT1G01840",45,0,1,27,54,15
"gene:AT1G01860",2,71,48,42,53,28
"gene:AT1G01880",0,49,28,31,91,6
"gene:AT1G01900",995,108,235,468,335,202
"gene:AT1G01910",884,133,179,209,327,221
"gene:AT1G01920",108,42,68,83,227,46
"gene:AT1G01930",864,155,129,99,249,72
"gene:AT1G01940",336,57,40,43,31,30
"gene:AT1G01950",152,180,63,260,268,118
"gene:AT1G01960",1454,394,580,1046,1280,549
"gene:AT1G01970",68,19,67,130,184,84
"gene:AT1G01980",0,0,0,1,0,0
"gene:AT1G01990",149,93,178,60,204,69
"gene:AT1G02000",189,36,12,75,59,36
"gene:AT1G02010",316,24,54,55,84,51
"gene:AT1G02020",29,3,40,223,95,60
"gene:AT1G02030",2,0,10,0,0,0
"gene:AT1G02040",0,0,0,0,0,0
"gene:AT1G02050",0,2,20,18,37,35
"gene:AT1G02060",43,24,16,32,21,47
"gene:AT1G02065",3,0,2,2,0,0
"gene:AT1G02067",0,0,0,0,0,0
"gene:AT1G02070",0,0,0,0,1,1
"gene:AT1G02080",4663,1317,1493,2034,2348,1009
"gene:AT1G02090",665,265,311,153,223,82
"gene:AT1G02100",483,91,144,186,211,85
"gene:AT1G02110",233,23,57,124,204,59
"gene:AT1G02120",898,738,677,386,394,196
"gene:AT1G02130",179,25,87,160,322,192
"gene:AT1G02140",1735,446,705,498,800,255
"gene:AT1G02145",439,19,68,135,186,210
"gene:AT1G02150",634,33,142,279,477,137
"gene:AT1G02160",188,74,63,123,208,88
"gene:AT1G02170",831,469,455,113,216,114
"gene:AT1G02180",0,17,2,3,47,7
"gene:AT1G02190",1,0,0,0,1,0
"gene:AT1G02205",0,0,0,0,0,0
"gene:AT1G02210",0,0,0,0,0,0
"gene:AT1G02220",227,67,112,1,4,5
"gene:AT1G02230",0,29,0,0,24,0
"gene:AT1G02250",0,0,1,0,0,0
"gene:AT1G02260",1,18,200,37,52,3
"gene:AT1G02270",395,25,139,65,196,70
"gene:AT1G02280",97,89,10,241,378,95
"gene:AT1G02290",35,16,22,98,88,87
"gene:AT1G02300",455,0,72,107,184,73
"gene:AT1G02305",503,137,219,434,556,200
"gene:AT1G02310",1,0,0,0,17,26
"gene:AT1G02320",0,0,0,0,1,0
"gene:AT1G02330",1006,165,163,192,234,97
"gene:AT1G02335",1359,37,163,236,392,108
"gene:AT1G02340",0,0,19,1,1,1
"gene:AT1G02350",0,0,0,0,5,0
"gene:AT1G02360",71,3,92,2,5,0
"gene:AT1G02370",42,31,70,33,107,0
"gene:AT1G02380",1,1,0,23,36,3
"gene:AT1G02390",0,0,0,0,0,0
"gene:AT1G02400",1467,376,291,25,0,1
"gene:AT1G02405",45,61,4,0,0,0
"gene:AT1G02410",114,119,158,116,214,50
"gene:AT1G02420",12,1,46,75,76,38
"gene:AT1G02430",53,1,13,27,27,0
"gene:AT1G02440",20,9,0,0,2,0
"gene:AT1G02450",205,33,54,1,0,3
"gene:AT1G02460",272,283,160,2,19,13
"gene:AT1G02470",201,63,0,0,6,9
"gene:AT1G02475",773,81,242,381,587,262
"gene:AT1G02490",0,0,0,0,0,0
"gene:AT1G02500",4735,1536,1585,2008,2135,1184
"gene:AT1G02510",1,0,0,0,0,0
"gene:AT1G02520",472,117,118,1,2,15
"gene:AT1G02530",0,0,0,0,0,0
"gene:AT1G02540",1,0,0,0,0,0
"gene:AT1G02550",0,0,0,0,0,0
"gene:AT1G02560",1637,482,291,1010,1791,658
"gene:AT1G02570",0,0,0,0,0,2
"gene:AT1G02575",0,0,0,0,0,0
"gene:AT1G02580",2,0,0,0,0,0
"gene:AT1G02590",0,0,1,0,0,0
"gene:AT1G02610",6,0,32,151,237,35
"gene:AT1G02620",0,1,0,18,25,10
"gene:AT1G02630",0,0,0,1,3,0
"gene:AT1G02640",465,92,49,471,694,289
"gene:AT1G02650",0,0,0,2,1,32
"gene:AT1G02660",449,87,143,88,227,44
"gene:AT1G02670",4,0,15,30,1,1
"gene:AT1G02680",181,187,124,79,114,62
"gene:AT1G02690",403,65,79,133,138,53
"gene:AT1G02700",0,0,0,19,27,4
"gene:AT1G02705",25,5,43,176,95,138
"gene:AT1G02710",1,3,32,90,70,83
"gene:AT1G02720",235,97,3,117,136,125
"gene:AT1G02730",910,198,91,874,869,281
"gene:AT1G02740",273,43,7,75,61,38
"gene:AT1G02750",841,140,147,58,152,20
"gene:AT1G02770",0,0,0,0,2,0
"gene:AT1G02780",4577,1281,1528,2523,3306,1349
"gene:AT1G02790",2,0,0,1,0,0
"gene:AT1G02800",1,0,1,0,0,0
"gene:AT1G02810",0,0,0,0,31,22
"gene:AT1G02813",0,0,11,0,0,0
