,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:AT3G19184,18.78097275,21.18839501,2.946500057,7.191038385,6.43004000715274e-13,1.67250554131995e-11
gene:AT4G38830,16.90287548,21.04412221,3.01658961,6.97613031,3.03421313871094e-12,7.44930286912093e-11
gene:AT1G77655,15.56137742,20.92811407,3.075020447,6.805845501,1.00457476900181e-11,2.37835856749653e-10
gene:AT2G30770,956.233552,13.44858634,1.211846655,11.09759745,1.28861361084735e-28,1.00013043474153e-26
gene:AT4G22710,873.8047404,13.31841866,1.230506188,10.82352839,2.66322878965524e-27,1.86406646339215e-25
gene:AT2G32030,751.8185503,13.10356693,1.21598046,10.77613281,4.46254734207856e-27,3.02447574789888e-25
gene:AT3G49620,716.416021,13.03169886,1.247983783,10.44220209,1.59077069425319e-25,9.97366590325255e-24
gene:AT4G12735,677.8941778,12.95431673,1.2297397,10.53419414,6.00957779195208e-26,3.86864057991617e-24
gene:AT1G80820,1233.441571,12.85441024,1.207235086,10.64781035,1.78514655892023e-26,1.16872452265635e-24
gene:AT5G22520,594.2855808,12.76384739,1.217226829,10.48600563,1.00174237841611e-25,6.36354366328492e-24
gene:AT2G04070,5396.380757,12.66448763,1.405742897,9.009106611,2.07741860084889e-19,9.06715492724251e-18
gene:AT2G38240,549.0309001,12.64742082,1.260677251,10.03224323,1.09988880140743e-23,6.17220397944322e-22
gene:AT1G56250,522.1329715,12.57856125,1.255299543,10.02036631,1.24042349120919e-23,6.94060213918443e-22
gene:AT3G48450,480.6797687,12.45850606,1.235145332,10.08667218,6.32784523067468e-24,3.58230485294195e-22
gene:AT1G19250,415.3542213,12.24607737,1.246627448,9.823365747,8.93108157968512e-23,4.8152789424588e-21
gene:AT4G37290,410.8118938,12.23155204,1.257278795,9.728591692,2.27723774670656e-22,1.20418330078593e-20
gene:AT1G43160,405.4539209,12.21230743,1.228897294,9.93761439,2.85584379274063e-23,1.57055089493348e-21
gene:AT1G26380,358.7606727,12.03676133,1.241636137,9.694274333,3.18896490855301e-22,1.66344706124196e-20
gene:AT3G57460,351.4764946,12.00411269,1.241170899,9.671603399,3.98091430471827e-22,2.06535413846947e-20
gene:AT3G43250,1793.638358,11.98147123,0.877937902,13.64728781,2.09532880057747e-42,3.0097678174265e-40
gene:AT1G51890,338.3655338,11.9489754,1.255882311,9.514406961,1.82752275562747e-21,9.06602010317462e-20
gene:AT2G45760,326.0176562,11.89752395,1.242555212,9.575046511,1.01811471564772e-21,5.15701895968088e-20
gene:AT3G01830,314.7338477,11.84617912,1.243831907,9.523938929,1.66736500420365e-21,8.31436310904455e-20
gene:AT5G37490,306.8704107,11.80976424,1.252125695,9.431772139,4.03218014093513e-21,1.95003526011858e-19
gene:AT1G32350,1011.698151,11.75440272,1.042353314,11.27679315,1.70861434799089e-29,1.39353427839528e-27
gene:AT5G36907,283.2627981,11.69179463,1.287042718,9.084231992,1.04433350437778e-19,4.63164315489941e-18
gene:AT5G22540,269.0980276,11.6215228,1.272827455,9.130477788,6.81976416994245e-20,3.09591558356256e-18
gene:AT1G28480,464.8364582,11.44795152,1.217265049,9.404649822,5.2203744925678e-21,2.51204420582363e-19
gene:AT2G37430,231.5919332,11.40671354,1.304568214,8.743669681,2.25658564628369e-18,9.42185694569816e-17
gene:AT2G02010,1151.223287,11.37660525,0.896764241,12.68628334,7.04503774384191e-37,8.07160038651602e-35
gene:AT5G39670,213.2352538,11.28380965,1.264693326,8.922170632,4.57237053474225e-19,1.95575529006042e-17
gene:AT2G44070,723.6253086,11.27127938,1.042213225,10.81475375,2.93078712808707e-27,2.04390545802246e-25
gene:AT5G67080,408.8735191,11.25838788,1.242771642,9.059096214,1.31535876192495e-19,5.80688657099346e-18
gene:AT5G51465,199.3698523,11.18864585,1.28969483,8.675421186,4.12022671422349e-18,1.67666223668866e-16
gene:AT5G40000,195.4631239,11.16074902,1.298614949,8.594348176,8.37387635350987e-18,3.30287647648274e-16
gene:AT5G43650,368.1342587,11.11017029,1.248402219,8.899511807,5.60928617825156e-19,2.37813965548427e-17
gene:AT2G35980,182.6052868,11.05901436,1.287909703,8.586793261,8.94303495450791e-18,3.51297013886466e-16
gene:AT3G04220,572.6484459,10.94882093,1.053080646,10.3969444,2.56011297666005e-25,1.56933294824053e-23
gene:AT2G29470,166.4581887,10.92582963,1.300164961,8.403417997,4.33667671760488e-17,1.60523756654729e-15
gene:AT3G28580,3093.955605,10.91211595,0.484505125,22.52218892,2.51627462611017e-112,2.54911863175624e-109
gene:AT5G25920,160.4268021,10.87490955,1.302888385,8.346769898,7.01552094292259e-17,2.55264172229441e-15
gene:AT1G26420,159.3833182,10.86564955,1.318980658,8.237914244,1.75238712876237e-16,6.16635236826658e-15
gene:AT5G36925,159.0537373,10.8600951,1.293411998,8.39647005,4.60101021356106e-17,1.6933125160731e-15
gene:AT3G25780,1673.729314,10.83868132,1.038727335,10.43457792,1.7237811389602e-25,1.07725127800993e-23
gene:AT5G40990,154.5460689,10.81821928,1.350599255,8.009940205,1.14764228865039e-15,3.78899121302619e-14
gene:AT3G10930,299.521186,10.81302296,1.254100064,8.622137319,6.57158316793394e-18,2.61883711835181e-16
gene:AT1G05990,151.9613535,10.79881161,1.331391451,8.110921552,5.02372827466714e-16,1.69941514641113e-14
gene:AT1G21110,150.9364626,10.78326506,1.338493571,8.056269598,7.86580466417892e-16,2.61939460512311e-14
gene:AT1G64290,149.4050361,10.77194191,1.32736218,8.115299705,4.84587358389372e-16,1.64213687927441e-14
gene:AT1G69920,282.7157956,10.72493224,1.255880306,8.539772613,1.34486217537459e-17,5.17718143032203e-16
gene:AT5G59680,275.8636368,10.68974272,1.247860205,8.566458549,1.06716287035692e-17,4.16648091858621e-16
gene:AT3G49110,274.3754891,10.68719603,1.256495973,8.505555334,1.80728395963483e-17,6.86126265385625e-16
gene:AT1G47890,272.6693689,10.68169551,1.244941838,8.580075938,9.48105286764801e-18,3.70917287797742e-16
gene:AT3G22275,138.5066218,10.6604384,1.318008511,8.088292534,6.05069420908652e-16,2.03252638981671e-14
gene:AT1G68765,136.7451152,10.64402952,1.306782446,8.145219239,3.78595317364064e-16,1.29435216138961e-14
gene:AT3G46690,262.4575766,10.61882764,1.244528083,8.53241304,1.43326279279088e-17,5.5064754961355e-16
gene:AT1G35230,258.167715,10.60053818,1.284215274,8.25448692,1.52556184929138e-16,5.39779677852214e-15
gene:AT1G56240,444.1271937,10.58598139,1.065377334,9.936368134,2.89178620260593e-23,1.5857863483692e-21
gene:AT1G57560,131.3148518,10.58560223,1.308482102,8.089986262,5.96714617896895e-16,2.00796555337053e-14
gene:AT2G04050,2893.543326,10.58523663,0.960483841,11.0207337,3.03574474800944e-28,2.26480677944518e-26
gene:AT1G13480,130.9576874,10.58166446,1.331655164,7.946249705,1.92242725172424e-15,6.25048644276828e-14
gene:AT1G78410,130.6654844,10.58069874,1.329033775,7.961196281,1.70383851497032e-15,5.55855656544893e-14
gene:AT5G24640,251.5901136,10.56696164,1.269518315,8.323599207,8.53317942444135e-17,3.08734281130915e-15
gene:AT5G22530,1099.065011,10.55172273,0.729261813,14.46904602,1.9009032095679e-47,3.32623499797845e-45
gene:AT1G05575,125.6488208,10.52389667,1.328551114,7.921333671,2.3497643072959e-15,7.60138880450948e-14
gene:AT1G05675,2143.669261,10.52297139,0.514157604,20.46643152,4.28899882276902e-93,2.7518216446886e-90
gene:AT1G61120,124.4306873,10.50436945,1.352064078,7.769135816,7.9023401422905e-15,2.45725756153162e-13
gene:AT3G13950,119.611473,10.44980037,1.322518305,7.901441008,2.75697327750082e-15,8.87395010791569e-14
gene:AT3G48640,794.8210177,10.41990127,0.777263112,13.40588676,5.58516911406439e-41,7.51771574178401e-39
gene:AT3G21305,108.5376187,10.31467901,1.41145772,7.307820039,2.71511080120236e-13,7.25839620854764e-12
gene:AT4G15975,107.6333372,10.3016634,1.389403636,7.414449721,1.22130830249265e-13,3.3970725731761e-12
gene:AT1G29290,206.6667332,10.27570739,1.274811173,8.060572112,7.59382001561936e-16,2.53760152188614e-14
gene:AT2G23270,527.2232992,10.27220837,0.928529014,11.06288356,1.89892692792738e-28,1.4504184725693e-26
gene:AT4G11890,205.0850182,10.26865355,1.256289733,8.173794055,2.98839759289063e-16,1.0271549440707e-14
