Geneid	Chr	Start	End	Strand	Length	trt_1	trt_2	trt_3	ctr_1	ctr_2	ctr_3
gene:AT1G01010	1	3631	5899	+	2269	71	42	48	28	18	64
gene:AT1G01020	1	6788	9130	-	2343	12	54	48	117	195	46
gene:AT1G01030	1	11649	13714	-	2066	0	34	9	29	58	8
gene:AT1G01040	1	23121	31227	+	8107	1458	182	322	995	848	430
gene:AT1G01050	1	31170	33171	-	2002	156	34	132	291	490	133
gene:AT1G01060	1	33365	37871	-	4507	0	1	2	19	30	0
gene:AT1G01070	1	38444	41017	-	2574	0	0	0	0	5	0
gene:AT1G01080	1	44970	47059	-	2090	526	110	122	304	508	199
gene:AT1G01090	1	47234	49304	-	2071	1722	531	771	1122	1428	601
gene:AT1G01100	1	49909	51210	-	1302	3554	405	846	1848	2301	927
gene:AT1G01110	1	51953	54737	+	2785	2	28	9	11	85	49
gene:AT1G01120	1	57164	59215	-	2052	84	7	3	26	26	53
gene:AT1G01130	1	61905	63811	-	1907	1	0	3	0	18	3
gene:AT1G01140	1	64166	67774	-	3609	374	68	272	970	881	421
gene:AT1G01150	1	69911	72138	-	2228	0	0	5	0	0	0
gene:AT1G01160	1	72339	74096	+	1758	206	70	154	309	341	145
gene:AT1G01170	1	73931	74737	-	807	480	230	137	373	565	229
gene:AT1G01180	1	75390	76845	+	1456	0	5	14	41	20	0
gene:AT1G01190	1	82984	84946	-	1963	117	34	27	34	17	0
gene:AT1G01200	1	86486	88409	-	1924	0	0	0	2	12	51
gene:AT1G01210	1	88622	90502	+	1881	282	146	64	73	72	36
gene:AT1G01220	1	91342	95681	+	4340	815	126	50	136	410	181
gene:AT1G01225	1	95935	97407	+	1473	0	0	0	47	54	3
gene:AT1G01230	1	97412	99240	+	1829	67	145	177	114	177	20
gene:AT1G01240	1	99865	101987	+	2123	32	117	106	148	161	111
gene:AT1G01250	1	104440	105330	-	891	0	0	0	0	16	0
gene:AT1G01260	1	108946	111699	+	2754	2116	483	640	66	105	28
